50 あ、あの、、、滅殺です。 姫川琴音
40 あなたもふくめて響子さんをもらいます。 伍代
38 奇跡は起きます！起こしてみせます！ タカヤノリコ
32 人間負けてしまったら負けだぞ！ 鳥坂先輩
30 朝ご飯食べて学校に行くよ〜。 水瀬名雪
24 バカでもやさしい方がいい♪ バカ山バカ子
23 しまった!!わしらはいい人になってしまったぞ!! 魔土災炎
22 てまなし♪てまなし♪ 香坂みゆき
20 汝ら、罪なし THE_BIG_O
20 真のスラッガーは、現実のボールを打つ前に、まず心の中でアーチを放ってるのさ ハルハラハル子
19 俺は時間と言ったことは守る男！ 速杉ハヤト
18 あと、わしは実は宇宙人じゃぁ。１００の秘密があるんじゃよ〜。 ファーザー
16 ジーッとしててもドーにもならねえ！ 朝倉リク
15 おいで鉈女…！ 古手梨花
15 フィジカルキャンセラー全開！エキゾチックマニューバ！ ラルク・メルク・マール
15 ギム・ゲル・ガン・ゴー・グフォ 獅子王ガイ
14 起きないから奇蹟っていうんですよ。 美坂栞
13 せっかくだから、俺はこの赤い扉を選ぶぜ！ コンバット越前
12 鳥は飛んでるし！猫だって歩いてる！子供も転んでるじゃないですか！ ウィリアム・ジョーンズ
12 ばかばか星人だよっ！ 長森瑞佳
11 正義の天才科学者ガヘットに不可能はないのじゃ。にわかには信じられんじゃろうが、実は本当なのじゃよ。 ガヘット博士
10 私は学会に復讐してやるんだぁっ！ 成原成行
9 韜晦してなさい、、、。 南雲しのぶ
8 やることやって、それから死になさい。 葛城ミサト
7 乙女にしか為せない技よ。 七瀬留美
6 落日の意気高らかにさえぎるカモ泣くよ♪ ドン石川
5 らんらから〜ん、ふにふに〜♪ 森里椎奈
5 頭は痛いしかったるし…でも萌え萌え〜。 地の王
5 目を食いしばれェ！ ギロロ伍長
4 しょんぼりじじいは人気者かい？ 友蔵
4 平田のb 涯
3 その者青き衣を纏いて金色の野に降り立つべし。 大ババ
3 顔で笑ってスネで泣く。 骨川スネ夫
2 さすがイタ公、やることがいちいちマルゲリータというか、ナポリな感じ？ですよね。 I上氏
2 フフフ、寺町と言えばドジョウ、ドジョウと言えば寺町… 野口さん
1 ４０秒で支度しな。 ドーラ
0 鶴謙ファンの気持ちは鶴謙ファンでなきゃ、分かるもんかよ、ねぇ？あんた 鶴謙ファン
0 くじらは、ほにうるいなんだよ〜 新城和泉
0 もったいないお化け知ってますか？ 認識力学研学生食堂の貼り紙
0 あなた、誰なの？ 美麻
0 アフロ軍曹はア・フ・ロ ダンス☆マン
0 ばっきゅる〜ん！ 瑠璃堂どりす
0 なぜならば！ ノノ
0 微笑みは偽り、真実は痛み。 綾波レイ
0 ぬかおののき! たまごまご
0 男の人はね、女の人に母親であり、妹であり、恋人であり、娼婦であって欲しいのよ。 八車文乃
-1 君は英雄だ。大変な功績だ。 将軍
-1 足が藁だよ？ 竜宮レナ
-2 お前さん、市街戦が見たいのか？ 後藤喜一
-3 おらぁおもわず遊んじゃうところだったわい 春高土建部員
-3 どーかとおもうよー。 川島
-4 誰かさんのおかげで、いい運動させてもらいましたー 宮代花梨
-4 裏切り者めっ！今におにいさんと呼んでやるぜ！ 乾有彦
-4 見んなや、減るじゃろうが。 コドモドラゴン
-5 はーっはっはっは、人がゴミのようだ！ ロムスカ・パロ・ウル・ラピュタ
-6 若僧！わしに説教するかっ！ 山野里子の父
-7 うるさぁい！俺に命令すんなァ！ 島鉄雄
-8 うちはダーリンの心根が情けないっちゃ！ ラム
-9 ヨメダヤチイ・ゴウモテシ・タイタイ・デンロコガン・サマルーダ ルーミィ
-10 ももんがぁ!! 杜浦直弥
-10 わたし、イチゴジャムがあればごはん三杯はいけるよ。 水瀬名雪
-12 そりゃないよ母ちゃ〜ん。 剛田猛
-12 やっ、そっくり!親子じゃないかしら。 ドラえもん
-13 ガチガチさむいのう はだしのゲンのクラスの子供
-14 あんたバカぁ？ 惣流アスカ
-15 その女には鬼がついとんのじゃぁ！ ヤクザ
-18 フウ……ッ罪つくりな男だぜ……明日の朝刊でイキナリ総理に選ばれてなきゃイイが…… 大森カズフサ
-19 あんた、背中が煤けてるぜ。 哭きの竜
-20 えいえんはあるよ。 長森瑞佳
-21 クレジットじゃなくドルじゃったわー!! 権造
-22 浦島斬る〜！ 青山素子
-25 憎しみと言うか…殺す理由は十分に ヘンリエッタ
-30 お兄さま、あなたは堕落しました。 R・デコ
-32 わたし、そういうのって、よくないことだと思うの。 小川美紅
-34 天地（あめつち）の間にあるを皆欲するは人の業。 ジコ坊
-34 バババのくせに！ ゴウダ
-35 広いこの海を赤潮で染めて、身体に悪い海水浴。 ジーニアス山田
-35 あ、それロン。 無名くん
-40 いただきマンモス〜！ ハルハラハルコ
-42 いよぉ〜ダメオじゃないでげすか〜！ ザレオ
-45 なんてこった！ タシロ提督
-48 嘘だっ！ 竜宮レナ
-50 バカモン立っとれ。 ペキン
